File Name,	 vector,	 SM Loc (X), 	 SM Loc (Y), 	 SM Loc (Z), 	 L*,	 converged L*,	 Convergence Lines 	, tol
./mhd.vts,	B,	2.09271264076,	0.0,	0.0,	nan,	nan,	0.0,	1.0
./mhd.vts,	B,	3.06427025795,	0.0,	0.0,	3.0726524853,	3.08696333611,	8.0,	1.0
./mhd.vts,	B,	4.08669424057,	0.0,	0.0,	4.10244940046,	4.16498351037,	8.0,	1.0
./mhd.vts,	B,	5.12125778198,	0.0,	0.0,	5.15387938749,	5.33197857986,	8.0,	1.0
./mhd.vts,	B,	6.12957620621,	0.0,	0.0,	6.105991723,	6.45208164599,	8.0,	1.0
./mhd.vts,	B,	7.0732550621,	0.0,	0.0,	7.11796070896,	7.67929276203,	8.0,	1.0
./mhd.vts,	B,	8.07385158539,	0.0,	0.0,	8.64301416405,	8.47735773894,	8.0,	1.0
./mhd.vts,	B,	0.738359153271,	8.21500110626,	2.02970838547,	10.3745909235,	10.6352044632,	9.0,	1.0
./mhd.vts,	B,	0.738359153271,	7.78857469559,	3.30838871002,	11.5004079214,	16.6809516233,	13.0,	1.0
./mhd.vts,	B,	1.00388872623,	7.33945417404,	4.07111215591,	12.3087075436,	28.0369059605,	21.0,	1.0
./mhd.vts,	B,	2.55922198296,	6.60863161087,	4.6154294014,	11.7882466539,	17.0751880671,	13.0,	1.0
./mhd.vts,	B,	1.52026700974,	6.49804925919,	5.04946947098,	nan,	nan,	3.0,	1.0
./mhd.vts,	B,	2.09271264076,	0.0,	0.0,	nan,	nan,	0.0,	1.0
./mhd.vts,	B,	3.06427025795,	0.0,	0.0,	3.0726524853,	3.08696333611,	8.0,	1.0
./mhd.vts,	B,	4.08669424057,	0.0,	0.0,	4.10244940046,	4.16498351037,	8.0,	1.0
./mhd.vts,	B,	5.12125778198,	0.0,	0.0,	5.15387938749,	5.33197857986,	8.0,	1.0
./mhd.vts,	B,	6.12957620621,	0.0,	0.0,	6.105991723,	6.45208164599,	8.0,	1.0
./mhd.vts,	B,	7.0732550621,	0.0,	0.0,	7.11796070896,	7.67929276203,	8.0,	1.0
./mhd.vts,	B,	8.07385158539,	0.0,	0.0,	8.64301416405,	8.47735773894,	8.0,	1.0
./mhd.vts,	B,	0.738359153271,	8.21500110626,	2.02970838547,	10.3745909235,	10.6352044632,	9.0,	1.0
./mhd.vts,	B,	0.738359153271,	7.78857469559,	3.30838871002,	11.5004079214,	16.6809516233,	13.0,	1.0
./mhd.vts,	B,	1.00388872623,	7.33945417404,	4.07111215591,	12.3087075436,	28.0369059605,	21.0,	1.0
./mhd.vts,	B,	2.55922198296,	6.60863161087,	4.6154294014,	11.7882466539,	17.0751880671,	13.0,	1.0
./mhd.vts,	B,	1.52026700974,	6.49804925919,	5.04946947098,	nan,	nan,	3.0,	1.0
./mhd.vts,	B,	2.09271264076,	0.0,	0.0,	nan,	nan,	0.0,	1.0
./mhd.vts,	B,	3.06427025795,	0.0,	0.0,	3.0726524853,	3.08696333611,	8.0,	1.0
./mhd.vts,	B,	4.08669424057,	0.0,	0.0,	4.10244940046,	4.16498351037,	8.0,	1.0
./mhd.vts,	B,	5.12125778198,	0.0,	0.0,	5.15387938749,	5.33197857986,	8.0,	1.0
./mhd.vts,	B,	6.12957620621,	0.0,	0.0,	6.105991723,	6.45208164599,	8.0,	1.0
./mhd.vts,	B,	7.0732550621,	0.0,	0.0,	7.11796070896,	7.67929276203,	8.0,	1.0
./mhd.vts,	B,	8.07385158539,	0.0,	0.0,	8.64301416405,	8.47735773894,	8.0,	1.0
./mhd.vts,	B,	0.738359153271,	8.21500110626,	2.02970838547,	10.3745909235,	10.6352044632,	9.0,	1.0
./mhd.vts,	B,	0.738359153271,	7.78857469559,	3.30838871002,	11.5004079214,	16.6809516233,	13.0,	1.0
./mhd.vts,	B,	1.00388872623,	7.33945417404,	4.07111215591,	12.3087075436,	28.0369059605,	21.0,	1.0
./mhd.vts,	B,	2.55922198296,	6.60863161087,	4.6154294014,	11.7882466539,	17.0751880671,	13.0,	1.0
./mhd.vts,	B,	1.52026700974,	6.49804925919,	5.04946947098,	nan,	nan,	3.0,	1.0
./mhd.vts,	B,	2.09271264076,	0.0,	0.0,	nan,	nan,	0.0,	1.0
./mhd.vts,	B,	3.06427025795,	0.0,	0.0,	3.0726524853,	3.08696333611,	8.0,	1.0
./mhd.vts,	B,	4.08669424057,	0.0,	0.0,	4.10244940046,	4.16498351037,	8.0,	1.0
./mhd.vts,	B,	5.12125778198,	0.0,	0.0,	5.15387938749,	5.33197857986,	8.0,	1.0
./mhd.vts,	B,	6.12957620621,	0.0,	0.0,	6.105991723,	6.45208164599,	8.0,	1.0
./mhd.vts,	B,	7.0732550621,	0.0,	0.0,	7.11796070896,	7.67929276203,	8.0,	1.0
./mhd.vts,	B,	8.07385158539,	0.0,	0.0,	8.64301416405,	8.47735773894,	8.0,	1.0
./mhd.vts,	B,	0.738359153271,	8.21500110626,	2.02970838547,	10.3745909235,	10.6352044632,	9.0,	1.0
./mhd.vts,	B,	0.738359153271,	7.78857469559,	3.30838871002,	11.5004079214,	16.6809516233,	13.0,	1.0
./mhd.vts,	B,	1.00388872623,	7.33945417404,	4.07111215591,	12.3087075436,	28.0369059605,	21.0,	1.0
./mhd.vts,	B,	2.55922198296,	6.60863161087,	4.6154294014,	11.7882466539,	17.0751880671,	13.0,	1.0
./mhd.vts,	B,	1.52026700974,	6.49804925919,	5.04946947098,	nan,	nan,	3.0,	1.0
./mhd.vts,	B,	2.09271264076,	0.0,	0.0,	nan,	nan,	0.0,	1.0
./mhd.vts,	B,	3.06427025795,	0.0,	0.0,	3.0726524853,	3.08696333611,	8.0,	1.0
./mhd.vts,	B,	4.08669424057,	0.0,	0.0,	4.10244940046,	4.16498351037,	8.0,	1.0
